A	ae ey5
B	b iy5
C	s iy5
D	d iy5
E	ee iy5
F	eh f5
G	j v5
H	ey ch5
I	ay5
J	j ey5
K	k ey5
L	eh l5
M	eh m5
N	eh n5
O	ow5
P	p iy5
Q	k y uw5
R	aa r5
S	eh s5
T	t iy5
U	y uw5
V	V iy5
W	d ah b ax l y uw5
X	eh k s5
Y	w ay5
Z	z iy5
a5	a5
a1	a1
a4	a4
ai5	ai5
ai1	ai1
ai2	ai2
ai3	ai3
ai4	ai4
an1	an1
an2	an2
an3	an3
an4	an4
ang1	ang1
ang2	ang2
ang4	ang4
ao1	ao1
ao2	ao2
ao3	ao3
ao4	ao4
ba5	b a5
ba1	b a1
ba2	b a2
ba3	b a3
ba4	b a4
bai5	b ai5
bai1	b ai1
bai2	b ai2
bai3	b ai3
bai4	b ai4
ban1	b an1
ban2	b an2
ban3	b an3
ban4	b an4
bang5	b ang5
bang1	b ang1
bang2	b ang2
bang3	b ang3
bang4	b ang4
bao5	b ao5
bao1	b ao1
bao2	b ao2
bao3	b ao3
bao4	b ao4
bei5	b ei5
bei1	b ei1
bei2	b ei2
bei3	b ei3
bei4	b ei4
ben5	b en5
ben1	b en1
ben2	b en2
ben3	b en3
ben4	b en4
beng1	b eng1
beng2	b eng2
beng4	b eng4
bi1	b i1
bi2	b i2
bi3	b i3
bi4	b i4
bian5	b ian5
bian1	b ian1
bian2	b ian2
bian3	b ian3
bian4	b ian4
biao1	b iao1
biao2	b iao2
biao3	b iao3
biao4	b iao4
bie1	b ie1
bie2	b ie2
bie3	b ie3
bie4	b ie4
bin1	b in1
bin4	b in4
bing1	b ing1
bing2	b ing2
bing3	b ing3
bing4	b ing4
bo5	b o5
bo1	b o1
bo2	b o2
bo3	b o3
bo4	b o4
bu5	b u5
bu2	b u2
bu3	b u3
bu4	b u4
ca1	c a1
ca3	c a3
cai5	c ai5
cai1	c ai1
cai2	c ai2
cai3	c ai3
cai4	c ai4
can1	c an1
can2	c an2
can3	c an3
can4	c an4
cang1	c ang1
cang2	c ang2
cao5	c ao5
cao1	c ao1
cao2	c ao2
cao3	c ao3
ce4	c e4
cen1	c en1
cen2	c en2
ceng1	c eng1
ceng2	c eng2
ceng4	c eng4
cha5	ch a5
cha1	ch a1
cha2	ch a2
cha4	ch a4
chai1	ch ai1
chai2	ch ai2
chan5	ch an5
chan1	ch an1
chan2	ch an2
chan3	ch an3
chan4	ch an4
chang5	ch ang5
chang1	ch ang1
chang2	ch ang2
chang3	ch ang3
chang4	ch ang4
chao5	ch ao5
chao1	ch ao1
chao2	ch ao2
chao3	ch ao3
che1	ch e1
che2	ch e2
che3	ch e3
che4	ch e4
chen5	ch en5
chen1	ch en1
chen2	ch en2
chen3	ch en3
chen4	ch en4
cheng5	ch eng5
cheng1	ch eng1
cheng2	ch eng2
cheng3	ch eng3
cheng4	ch eng4
chi5	ch iii5
chi1	ch iii1
chi2	ch iii2
chi3	ch iii3
chi4	ch iii4
chong1	ch ong1
chong2	ch ong2
chong3	ch ong3
chong4	ch ong4
chou5	ch ou5
chou1	ch ou1
chou2	ch ou2
chou3	ch ou3
chou4	ch ou4
chu5	ch u5
chu1	ch u1
chu2	ch u2
chu3	ch u3
chu4	ch u4
chuai1	ch uai1
chuai3	ch uai3
chuai4	ch uai4
chuan5	ch uan5
chuan1	ch uan1
chuan2	ch uan2
chuan3	ch uan3
chuan4	ch uan4
chuang5	ch uang5
chuang1	ch uang1
chuang2	ch uang2
chuang3	ch uang3
chuang4	ch uang4
chui5	ch uei5
chui1	ch uei1
chui2	ch uei2
chun1	ch uen1
chun2	ch uen2
chun3	ch uen3
chuo1	ch uo1
chuo4	ch uo4
ci1	c ii1
ci2	c ii2
ci3	c ii3
ci4	c ii4
cong5	c ong5
cong1	c ong1
cong2	c ong2
cou4	c ou4
cu1	c u1
cu2	c u2
cu4	c u4
cuan1	c uan1
cuan2	c uan2
cuan4	c uan4
cui5	c uei5
cui1	c uei1
cui2	c uei2
cui3	c uei3
cui4	c uei4
cun1	c uen1
cun2	c uen2
cun3	c uen3
cun4	c uen4
cuo1	c uo1
cuo2	c uo2
cuo4	c uo4
da5	d a5
da1	d a1
da2	d a2
da3	d a3
da4	d a4
dai5	d ai5
dai1	d ai1
dai3	d ai3
dai4	d ai4
dan5	d an5
dan1	d an1
dan2	d an2
dan3	d an3
dan4	d an4
dang1	d ang1
dang2	d ang2
dang3	d ang3
dang4	d ang4
dao5	d ao5
dao1	d ao1
dao2	d ao2
dao3	d ao3
dao4	d ao4
de5	d e5
de2	d e2
de4	d e4
dei2	d ei2
dei3	d ei3
deng1	d eng1
deng2	d eng2
deng3	d eng3
deng4	d eng4
di5	d i5
di1	d i1
di2	d i2
di3	d i3
di4	d i4
dia2	d ia2
dia3	d ia3
dian1	d ian1
dian2	d ian2
dian3	d ian3
dian4	d ian4
diao5	d iao5
diao1	d iao1
diao3	d iao3
diao4	d iao4
die5	d ie5
die1	d ie1
die2	d ie2
die4	d ie4
ding1	d ing1
ding2	d ing2
ding3	d ing3
ding4	d ing4
diu1	d iou1
dong5	d ong5
dong1	d ong1
dong2	d ong2
dong3	d ong3
dong4	d ong4
dou5	d ou5
dou1	d ou1
dou2	d ou2
dou3	d ou3
dou4	d ou4
du5	d u5
du1	d u1
du2	d u2
du3	d u3
du4	d u4
duan1	d uan1
duan2	d uan2
duan3	d uan3
duan4	d uan4
dui1	d uei1
dui4	d uei4
dun1	d uen1
dun3	d uen3
dun4	d uen4
duo5	d uo5
duo1	d uo1
duo2	d uo2
duo3	d uo3
duo4	d uo4
e5	e5
e1	e1
e2	e2
e3	e3
e4	e4
eer2	eer2
ei5	ei5
en1	en1
en4	en4
er5	er5
er2	er2
er3	er3
er4	er4
fa5	f a5
fa1	f a1
fa2	f a2
fa3	f a3
fa4	f a4
fan5	f an5
fan1	f an1
fan2	f an2
fan3	f an3
fan4	f an4
fang5	f ang5
fang1	f ang1
fang2	f ang2
fang3	f ang3
fang4	f ang4
fei1	f ei1
fei2	f ei2
fei3	f ei3
fei4	f ei4
fen5	f en5
fen1	f en1
fen2	f en2
fen3	f en3
fen4	f en4
feng5	f eng5
feng1	f eng1
feng2	f eng2
feng3	f eng3
feng4	f eng4
fo2	f o2
fou2	f ou2
fou3	f ou3
fu5	f u5
fu1	f u1
fu2	f u2
fu3	f u3
fu4	f u4
ga1	g a1
ga2	g a2
ga3	g a3
ga4	g a4
gai1	g ai1
gai2	g ai2
gai3	g ai3
gai4	g ai4
gan5	g an5
gan1	g an1
gan2	g an2
gan3	g an3
gan4	g an4
gang5	g ang5
gang1	g ang1
gang2	g ang2
gang3	g ang3
gang4	g ang4
gao1	g ao1
gao2	g ao2
gao3	g ao3
gao4	g ao4
ge5	g e5
ge1	g e1
ge2	g e2
ge3	g e3
ge4	g e4
gei2	g ei2
gei3	g ei3
gen1	g en1
gen4	g en4
geng1	g eng1
geng2	g eng2
geng3	g eng3
geng4	g eng4
gong5	g ong5
gong1	g ong1
gong2	g ong2
gong3	g ong3
gong4	g ong4
gou5	g ou5
gou1	g ou1
gou2	g ou2
gou3	g ou3
gou4	g ou4
gu5	g u5
gu1	g u1
gu2	g u2
gu3	g u3
gu4	g u4
gua5	g ua5
gua1	g ua1
gua2	g ua2
gua3	g ua3
gua4	g ua4
guai1	g uai1
guai2	g uai2
guai3	g uai3
guai4	g uai4
guan1	g uan1
guan2	g uan2
guan3	g uan3
guan4	g uan4
guang5	g uang5
guang1	g uang1
guang2	g uang2
guang3	g uang3
guang4	g uang4
gui5	g uei5
gui1	g uei1
gui2	g uei2
gui3	g uei3
gui4	g uei4
gun2	g uen2
gun3	g uen3
gun4	g uen4
guo5	g uo5
guo1	g uo1
guo2	g uo2
guo3	g uo3
guo4	g uo4
ha5	h a5
ha1	h a1
ha2	h a2
hai5	h ai5
hai1	h ai1
hai2	h ai2
hai3	h ai3
hai4	h ai4
han5	h an5
han1	h an1
han2	h an2
han3	h an3
han4	h an4
hang1	h ang1
hang2	h ang2
hang4	h ang4
hao5	h ao5
hao1	h ao1
hao2	h ao2
hao3	h ao3
hao4	h ao4
he5	h e5
he1	h e1
he2	h e2
he4	h e4
hei1	h ei1
hen2	h en2
hen3	h en3
hen4	h en4
heng5	h eng5
heng1	h eng1
heng2	h eng2
heng4	h eng4
hong1	h ong1
hong2	h ong2
hong3	h ong3
hong4	h ong4
hou5	h ou5
hou2	h ou2
hou3	h ou3
hou4	h ou4
hu5	h u5
hu1	h u1
hu2	h u2
hu3	h u3
hu4	h u4
hua5	h ua5
hua1	h ua1
hua2	h ua2
hua4	h ua4
huai2	h uai2
huai4	h uai4
huan5	h uan5
huan1	h uan1
huan2	h uan2
huan3	h uan3
huan4	h uan4
huang5	h uang5
huang1	h uang1
huang2	h uang2
huang3	h uang3
huang4	h uang4
hui5	h uei5
hui1	h uei1
hui2	h uei2
hui3	h uei3
hui4	h uei4
hun5	h uen5
hun1	h uen1
hun2	h uen2
hun4	h uen4
huo5	h uo5
huo1	h uo1
huo2	h uo2
huo3	h uo3
huo4	h uo4
ji5	j i5
ji1	j i1
ji2	j i2
ji3	j i3
ji4	j i4
jia5	j ia5
jia1	j ia1
jia2	j ia2
jia3	j ia3
jia4	j ia4
jian5	j ian5
jian1	j ian1
jian2	j ian2
jian3	j ian3
jian4	j ian4
jiang5	j iang5
jiang1	j iang1
jiang2	j iang2
jiang3	j iang3
jiang4	j iang4
jiao5	j iao5
jiao1	j iao1
jiao2	j iao2
jiao3	j iao3
jiao4	j iao4
jie5	j ie5
jie1	j ie1
jie2	j ie2
jie3	j ie3
jie4	j ie4
jin5	j in5
jin1	j in1
jin2	j in2
jin3	j in3
jin4	j in4
jing5	j ing5
jing1	j ing1
jing2	j ing2
jing3	j ing3
jing4	j ing4
jiong2	j iong2
jiong3	j iong3
jiu5	j iou5
jiu1	j iou1
jiu2	j iou2
jiu3	j iou3
jiu4	j iou4
ju5	j v5
ju1	j v1
ju2	j v2
ju3	j v3
ju4	j v4
juan1	j van1
juan2	j van2
juan3	j van3
juan4	j van4
jue1	j ve1
jue2	j ve2
jue4	j ve4
jun5	j vn5
jun1	j vn1
jun4	j vn4
ka1	k a1
ka2	k a2
ka3	k a3
kai1	k ai1
kai2	k ai2
kai3	k ai3
kai4	k ai4
kan5	k an5
kan1	k an1
kan2	k an2
kan3	k an3
kan4	k an4
kang1	k ang1
kang2	k ang2
kang4	k ang4
kao1	k ao1
kao2	k ao2
kao3	k ao3
kao4	k ao4
ke1	k e1
ke2	k e2
ke3	k e3
ke4	k e4
ken2	k en2
ken3	k en3
keng1	k eng1
kong1	k ong1
kong2	k ong2
kong3	k ong3
kong4	k ong4
kou5	k ou5
kou1	k ou1
kou2	k ou2
kou3	k ou3
kou4	k ou4
ku1	k u1
ku2	k u2
ku3	k u3
ku4	k u4
kua1	k ua1
kua2	k ua2
kua3	k ua3
kua4	k ua4
kuai5	k uai5
kuai4	k uai4
kuan1	k uan1
kuan2	k uan2
kuan3	k uan3
kuang5	k uang5
kuang1	k uang1
kuang2	k uang2
kuang4	k uang4
kui1	k uei1
kui2	k uei2
kui3	k uei3
kui4	k uei4
kun1	k uen1
kun2	k uen2
kun3	k uen3
kun4	k uen4
kuo4	k uo4
la5	l a5
la1	l a1
la2	l a2
la3	l a3
la4	l a4
lai5	l ai5
lai2	l ai2
lai4	l ai4
lan5	l an5
lan2	l an2
lan3	l an3
lan4	l an4
lang5	l ang5
lang1	l ang1
lang2	l ang2
lang3	l ang3
lang4	l ang4
lao5	l ao5
lao1	l ao1
lao2	l ao2
lao3	l ao3
lao4	l ao4
le5	l e5
le4	l e4
lei5	l ei5
lei1	l ei1
lei2	l ei2
lei3	l ei3
lei4	l ei4
leng2	l eng2
leng3	l eng3
leng4	l eng4
li5	l i5
li2	l i2
li3	l i3
li4	l i4
lia2	l ia2
lia3	l ia3
lian5	l ian5
lian2	l ian2
lian3	l ian3
lian4	l ian4
liang5	l iang5
liang2	l iang2
liang3	l iang3
liang4	l iang4
liao5	l iao5
liao2	l iao2
liao3	l iao3
liao4	l iao4
lie5	l ie5
lie1	l ie1
lie2	l ie2
lie3	l ie3
lie4	l ie4
lin5	l in5
lin1	l in1
lin2	l in2
lin3	l in3
lin4	l in4
ling5	l ing5
ling2	l ing2
ling3	l ing3
ling4	l ing4
liu5	l iou5
liu1	l iou1
liu2	l iou2
liu3	l iou3
liu4	l iou4
lo5	l o5
long5	l ong5
long2	l ong2
long3	l ong3
long4	l ong4
lou5	l ou5
lou1	l ou1
lou2	l ou2
lou3	l ou3
lou4	l ou4
lu5	l u5
lu1	l u1
lu2	l u2
lu3	l u3
lu4	l u4
luan2	l uan2
luan3	l uan3
luan4	l uan4
lun1	l uen1
lun2	l uen2
lun4	l uen4
luo5	l uo5
luo1	l uo1
luo2	l uo2
luo3	l uo3
luo4	l uo4
lv5	l v5
lv2	l v2
lv3	l v3
lv4	l v4
lve4	l ve4
ma5	m a5
ma1	m a1
ma2	m a2
ma3	m a3
ma4	m a4
mai5	m ai5
mai2	m ai2
mai3	m ai3
mai4	m ai4
man2	m an2
man3	m an3
man4	m an4
mang2	m ang2
mang3	m ang3
mao5	m ao5
mao1	m ao1
mao2	m ao2
mao3	m ao3
mao4	m ao4
me5	m e5
me1	m e1
mei5	m ei5
mei1	m ei1
mei2	m ei2
mei3	m ei3
mei4	m ei4
men5	m en5
men1	m en1
men2	m en2
men4	m en4
meng1	m eng1
meng2	m eng2
meng3	m eng3
meng4	m eng4
mi5	m i5
mi1	m i1
mi2	m i2
mi3	m i3
mi4	m i4
mian5	m ian5
mian2	m ian2
mian3	m ian3
mian4	m ian4
miao1	m iao1
miao2	m iao2
miao3	m iao3
miao4	m iao4
mie1	m ie1
mie4	m ie4
min2	m in2
min3	m in3
ming5	m ing5
ming2	m ing2
ming3	m ing3
ming4	m ing4
miu4	m iou4
mo5	m o5
mo1	m o1
mo2	m o2
mo3	m o3
mo4	m o4
mou5	m ou5
mou2	m ou2
mou3	m ou3
mu5	m u5
mu2	m u2
mu3	m u3
mu4	m u4
na5	n a5
na2	n a2
na3	n a3
na4	n a4
nai5	n ai5
nai2	n ai2
nai3	n ai3
nai4	n ai4
nan5	n an5
nan1	n an1
nan2	n an2
nan3	n an3
nan4	n an4
nang5	n ang5
nang1	n ang1
nang2	n ang2
nao5	n ao5
nao1	n ao1
nao2	n ao2
nao3	n ao3
nao4	n ao4
ne5	n e5
ne2	n e2
ne4	n e4
nei3	n ei3
nei4	n ei4
nen5	n en5
nen4	n en4
neng2	n eng2
ng1	ng1
ni1	n i1
ni2	n i2
ni3	n i3
ni4	n i4
nian1	n ian1
nian2	n ian2
nian3	n ian3
nian4	n ian4
niang5	n iang5
niang2	n iang2
niang4	n iang4
niao2	n iao2
niao3	n iao3
niao4	n iao4
nie1	n ie1
nie4	n ie4
nin2	n in2
ning2	n ing2
ning3	n ing3
ning4	n ing4
niu5	n iou5
niu1	n iou1
niu2	n iou2
niu3	n iou3
niu4	n iou4
nong5	n ong5
nong2	n ong2
nong4	n ong4
nu2	n u2
nu3	n u3
nu4	n u4
nuan2	n uan2
nuan3	n uan3
nuo2	n uo2
nuo4	n uo4
nv5	n v5
nv2	n v2
nv3	n v3
nve4	n ve4
o5	o5
o1	o1
o4	o4
ou1	ou1
ou2	ou2
ou3	ou3
ou4	ou4
pa5	p a5
pa1	p a1
pa2	p a2
pa4	p a4
pai5	p ai5
pai1	p ai1
pai2	p ai2
pai4	p ai4
pan5	p an5
pan1	p an1
pan2	p an2
pan4	p an4
pang1	p ang1
pang2	p ang2
pang4	p ang4
pao1	p ao1
pao2	p ao2
pao3	p ao3
pao4	p ao4
pei1	p ei1
pei2	p ei2
pei4	p ei4
pen1	p en1
pen2	p en2
pen4	p en4
peng5	p eng5
peng1	p eng1
peng2	p eng2
peng3	p eng3
peng4	p eng4
pi5	p i5
pi1	p i1
pi2	p i2
pi3	p i3
pi4	p i4
pian5	p ian5
pian1	p ian1
pian2	p ian2
pian4	p ian4
piao1	p iao1
piao2	p iao2
piao3	p iao3
piao4	p iao4
pie1	p ie1
pie2	p ie2
pie3	p ie3
pin1	p in1
pin2	p in2
pin3	p in3
pin4	p in4
ping5	p ing5
ping1	p ing1
ping2	p ing2
po5	p o5
po1	p o1
